HandOverHandListBasedSetOptimized;4;10;100;200; 1975890.5547226388
HandOverHandListBasedSetOptimized;4;10;1000;2000; 425581.627558662
HandOverHandListBasedSetOptimized;4;10;10000;20000; 40144.85514485515
HandOverHandListBasedSetOptimized;4;100;100;200; 1970237.7622377626
HandOverHandListBasedSetOptimized;4;100;1000;2000; 381187.7184223664
HandOverHandListBasedSetOptimized;4;100;10000;20000; 36057.91313030454
HandOverHandListBasedSetOptimized;6;0;100;200; 1431146.2805791313
HandOverHandListBasedSetOptimized;6;0;1000;2000; 400407.38891662506
HandOverHandListBasedSetOptimized;6;0;10000;20000; 47547.17923115327
HandOverHandListBasedSetOptimized;6;10;100;200; 1754717.923115327
HandOverHandListBasedSetOptimized;6;10;1000;2000; 515896.103896104
HandOverHandListBasedSetOptimized;6;10;10000;20000; 36513.729405891165
HandOverHandListBasedSetOptimized;6;100;100;200; 1540612.081877184
HandOverHandListBasedSetOptimized;6;100;1000;2000; 458024.9625561657
HandOverHandListBasedSetOptimized;6;100;10000;20000; 46719.920119820265
HandOverHandListBasedSetOptimized;8;0;100;200; 1418516.9660678643
HandOverHandListBasedSetOptimized;8;0;1000;2000; 370296.4071856287
HandOverHandListBasedSetOptimized;8;0;10000;20000; 31033.932135728544
HandOverHandListBasedSetOptimized;8;10;100;200; 1608299.4011976048
HandOverHandListBasedSetOptimized;8;10;1000;2000; 543394.7105788423
HandOverHandListBasedSetOptimized;8;10;10000;20000; 31047.381546134664
HandOverHandListBasedSetOptimized;8;100;100;200; 1521729.0419161676
HandOverHandListBasedSetOptimized;8;100;1000;2000; 405796.9061876247
HandOverHandListBasedSetOptimized;8;100;10000;20000; 38099.800399201595
HandOverHandListBasedSetOptimized;10;0;100;200; 1184553.393213573
HandOverHandListBasedSetOptimized;10;0;1000;2000; 306833.5824613851
HandOverHandListBasedSetOptimized;10;0;10000;20000; 31583.333333333332
HandOverHandListBasedSetOptimized;10;10;100;200; 1502007.9840319362
HandOverHandListBasedSetOptimized;10;10;1000;2000; 590929.2123629113
HandOverHandListBasedSetOptimized;10;10;10000;20000; 34142.6433915212
HandOverHandListBasedSetOptimized;10;100;100;200; 1441474.5508982036
HandOverHandListBasedSetOptimized;10;100;1000;2000; 426749.1271820449
HandOverHandListBasedSetOptimized;10;100;10000;20000; 37042.41516966068
HandOverHandListBasedSetOptimized;12;0;100;200; 1170947.7091633466
HandOverHandListBasedSetOptimized;12;0;1000;2000; 321424.9376558604
HandOverHandListBasedSetOptimized;12;0;10000;20000; 33318.5443668993
HandOverHandListBasedSetOptimized;12;10;100;200; 1496590.229312064
HandOverHandListBasedSetOptimized;12;10;1000;2000; 670017.4563591023
HandOverHandListBasedSetOptimized;12;10;10000;20000; 36033.88141504733
HandOverHandListBasedSetOptimized;12;100;100;200; 1411442.1157684631
HandOverHandListBasedSetOptimized;12;100;1000;2000; 465550.3489531406
HandOverHandListBasedSetOptimized;12;100;10000;20000; 41930.673316708235
LazyLinkedListSortedSet;1;0;100;200; 9723306.846576713
LazyLinkedListSortedSet;1;0;1000;2000; 722060.9390609391
LazyLinkedListSortedSet;1;0;10000;20000; 39844.57771114443
LazyLinkedListSortedSet;1;10;100;200; 9918828.085957022
LazyLinkedListSortedSet;1;10;1000;2000; 508949.52523738134
LazyLinkedListSortedSet;1;10;10000;20000; 38034.46553446554
LazyLinkedListSortedSet;1;100;100;200; 8119665.334665336
LazyLinkedListSortedSet;1;100;1000;2000; 607884.6153846155
LazyLinkedListSortedSet;1;100;10000;20000; 30535.2323838081
LazyLinkedListSortedSet;4;0;100;200; 3.036691408591409E7
LazyLinkedListSortedSet;4;0;1000;2000; 3449511.9880119883
LazyLinkedListSortedSet;4;0;10000;20000; 153131.80229655516
LazyLinkedListSortedSet;4;10;100;200; 2.7409002496255614E7
LazyLinkedListSortedSet;4;10;1000;2000; 1781920.1198202695
LazyLinkedListSortedSet;4;10;10000;20000; 139087.9120879121
LazyLinkedListSortedSet;4;100;100;200; 1.1173391912131801E7
LazyLinkedListSortedSet;4;100;1000;2000; 1788842.2366450324
LazyLinkedListSortedSet;4;100;10000;20000; 110261.10833749376
LazyLinkedListSortedSet;6;0;100;200; 4.003198153692615E7
LazyLinkedListSortedSet;6;0;1000;2000; 5191896.20758483
LazyLinkedListSortedSet;6;0;10000;20000; 209580.33932135729
LazyLinkedListSortedSet;6;10;100;200; 3.3508532700948574E7
LazyLinkedListSortedSet;6;10;1000;2000; 2190629.241516966
LazyLinkedListSortedSet;6;10;10000;20000; 190457.81328007986
LazyLinkedListSortedSet;6;100;100;200; 1.1913169246130804E7
LazyLinkedListSortedSet;6;100;1000;2000; 2281648.70259481
LazyLinkedListSortedSet;6;100;10000;20000; 152178.23265102346
LazyLinkedListSortedSet;8;0;100;200; 4.98184875249501E7
LazyLinkedListSortedSet;8;0;1000;2000; 5615984.031936128
LazyLinkedListSortedSet;8;0;10000;20000; 222529.9401197605
